N ,Parameter 1,Parameter 2,Parameter 3,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Parameter 9,Parameter 10,Parameter 11,Parameter 12,Parameter 13,Parameter 14,Parameter 15,Parameter 16,Parameter 17,Parameter 18,Parameter 19,Parameter 20,Parameter 21,Parameter 22,Parameter 31,Parameter 32,Parameter 33,Parameter 34,Parameter 35,Parameter 36,Parameter 37,Parameter 38,Parameter 39,Populations
43,0.897688,3.7471,1.244673041,2.150606399,3.93,26.2,10.48,14.41,2.165628672,22.80718525,18.89014934,0.103368326,0,0.092546898,0,0.010821429,0,0.895311949,0,0.104688051,0.134229437,2,1,6,8.459918203,8.459918203,0,0.200910043,0,0,Control
44,3.0603,13.788924,4.944095939,3.003046589,2.62,7.86,5.24,2.62,0.497168958,5.349155054,0.891144765,0.074449864,0,0,0.074449864,0,0,0,1,0,0.054006944,9,3,5,5.830071355,5.830071355,0,0.055516582,0,0,Control
45,1.63216,7.35886,2.640270888,3.034821246,5.24,13.1,7.86,5.24,1.582191825,14.39391826,2.255605877,1.287509524,0.794533333,0,0,0.49297619,0.617108704,0,0,0.382891296,0.00817619,3,1,5,3.777166511,3.641606788,0.020539575,0,0,0,Control
50,0.938492,5.676604,2.732352701,4.155366285,2.62,14.41,1.31,13.1,0.715306699,9.128154899,4.066834917,0,0,0,0,0,,,,,0,4,1,6,0.728321358,0.728321358,0,0,0,0,Control
54,0.571256,2.195134,0.671245573,3.484532616,2.62,11.79,7.86,3.93,1.051859021,13.13881072,1.639464185,0,0,0,0,0,,,,,0,2,1,6,9.383468194,9.327064276,0.010502302,0.170208137,0,0,Control
55,0.367236,2.28866,1.135030276,4.146873573,2.62,11.79,1.31,10.48,1.971080899,33.79435601,13.38211708,0,0,0,0,0,,,,,0,2,1,6,12.26723897,12.26723897,0,0,0,0,Control
62,1.999396,11.470166,5.236374792,2.717247553,1.31,3.93,1.31,3.93,0.455968708,5.309371273,2.521104468,0,0,0,0,0,,,,,0.114542471,9,5,3,5.612547372,5.612547372,0,0,0,0,Control
64,1.42814,5.317448,1.575527021,2.863953972,2.62,3.93,1.31,2.62,0.441878647,3.818030821,0.690453793,0,0,0,0,0,,,,,0,3,1,8,4.318266782,4.318266782,0,0,0,0,Control
66,0.571256,2.572672,0.921994226,6.982405825,2.62,47.16,37.99,9.17,2.492172241,58.19110505,7.801973268,0.038155556,0,0.017955556,0.0202,0,0,0.470588235,0.529411765,0,0,3,2,8,10.64605725,10.63141947,0,0,0,0,Control
68,0.367236,1.89274,0.776295035,4.1176531,3.93,18.34,9.17,9.17,2.269406319,21.64311908,3.447670729,0,0,0,0,0,,,,,0,2,1,5,8.739856292,8.739856292,0,0,0,0,Control
69,0.897688,6.812652,4.114311092,2.580480736,1.31,6.55,1.31,6.55,0.471980095,8.099491376,5.235192684,0,0,0,0,0,,,,,0,2,1,7,12.16368793,12.16368793,0,0,0,0,Control
72,0.489648,2.78154,1.257409596,3.333915292,2.62,3.93,1.31,2.62,1.495433688,15.11988289,1.303617708,0,0,0,0,0,,,,,0,3,2,9,7.636027501,7.636027501,0,0,0,0,Control
73,0.897688,3.61176,1.156385092,7.207409903,3.93,17.03,11.79,5.24,2.43897891,41.32133154,1.306820838,0.130177778,0.017955556,0,0.057714286,0.054507937,0.137931034,0,0.443349754,0.418719212,0.089194805,5,1,6,1.725888757,1.725888757,0,0.032969632,0,0,Control
75,0.489648,2.325424,0.878841288,2.835492146,3.93,9.17,6.55,2.62,1.375571012,13.21106953,1.56193303,0.236468254,0,0.180357143,0.056111111,0,0,0.762711864,0.237288136,0,0.005611111,3,2,9,9.061592775,8.970255738,0.011402213,0.021848565,0,0,Control
77,0.775276,4.90153,2.46602302,5.357233006,3.93,9.17,6.55,2.62,1.157173753,18.6188109,0.69138291,0.0202,0,0,0.0202,0,0,0,1,0,0.024688889,3,2,8,11.22934393,11.11,0,0.06192792,0,0,Control
78,0.367236,1.929504,0.806744947,2.867366463,5.24,17.03,13.1,3.93,1.891932964,17.590817,1.661546223,0,0,0,0,0,,,,,0,4,2,9,4.919021447,4.919021447,0,0,0,0,Control
83,0.61206,2.591054,0.872868993,3.621645673,5.24,14.41,11.79,2.62,1.680365205,21.12419276,1.103018731,0,0,0,0,0,,,,,0,3,2,6,8.08284878,7.998791909,0,0,0,0,Control
86,0.897688,5.26412,2.456497225,4.267325298,2.62,5.24,2.62,2.62,0.44209215,7.258514867,1.190498427,0,0,0,0,0,,,,,0,4,1,6,6.742080984,6.742080984,0,0,0,0,Control
87,0.938492,4.53894,1.746901609,5.41150402,2.62,5.24,1.31,3.93,0.703990459,11.39157564,0.645114981,0,0,0,0,0,,,,,0,3,2,8,11.40485459,11.20508402,0,0,0,0,Control
88,0.897688,3.783864,1.269216629,3.581025643,2.62,3.93,1.31,2.62,0.405354917,5.089676217,1.132966833,0,0,0,0,0,,,,,0,2,2,7,8.311508407,8.311508407,0,0,0,0,Control
89,0.571256,2.405618,0.80614412,3.067900643,2.62,6.55,3.93,2.62,0.227005884,4.489520625,0.984871862,0,0,0,0,0,,,,,0,3,3,9,14.59441263,14.59441263,0,0,0,0,Control
93,0.40804,1.7574,0.602321882,2.081966657,3.93,6.55,1.31,5.24,0.980821908,7.091467427,2.503959605,0,0,0,0,0,,,,,0,4,2,4,4.856409373,4.856409373,0,0,0,0,Control
95,0.652864,2.591054,0.818314681,2.188836064,5.24,14.41,5.24,9.17,0.970890462,9.463796343,3.884672493,0,0,0,0,0,,,,,0,4,1,7,8.875518452,8.574894052,0,0,0,0,Control
102,0.530452,2.763158,1.145395527,3.308471781,2.62,3.93,1.31,2.62,0.729188561,8.403183044,1.127463933,0.014428571,0,0,0,0.014428571,0,0,0,1,0.0101,4,2,5,8.924651702,8.924651702,0.008701742,0.037011139,0,0,Control
113,0.489648,3.083934,1.545668304,2.78501602,2.62,9.17,2.62,6.55,1.237442851,8.379433188,2.853786528,0.014428571,0.014428571,0,0,0,1,0,0,0,0,4,1,5,8.185355143,8.142880326,0,0,0,0,Control
114,0.448844,2.422384,1.04035292,3.529739727,2.62,15.72,2.62,13.1,1.240348697,19.28254798,3.412612377,0,0,0,0,0,,,,,0,1,1,7,13.93067924,13.93067924,0,0,0,0,Control
120,0.40804,2.763158,1.489014185,5.201759578,5.24,52.4,34.06,18.34,1.484931469,31.56545051,18.56051862,0,0,0,0,0,,,,,0,3,2,6,10.76964591,10.63141947,0,0,0,0,Control
132,0.693668,3.765482,1.626595729,2.882561828,2.62,3.93,1.31,2.62,0.356970191,3.782753557,0.954124287,0.009619048,0,0.009619048,0,0,0,1,0,0,0.067333333,2,2,6,8.766935829,8.674247864,0,0,0,0,Control
142,0.489648,1.966268,0.628335466,2.330557367,2.62,3.93,1.31,2.62,0.355022848,2.308398958,0.773535447,0,0,0,0,0,,,,,0,8,1,4,12.36662411,12.36662411,0,0,0,0,Control
160,0.40804,1.645492,0.528054743,3.847947942,2.62,11.79,6.55,5.24,1.069863081,11.58454877,1.349353794,0.0202,0.0202,0,0,0,1,0,0,0,0,5,1,6,7.070769756,7.000400274,0.200289083,0,0,0,Control
3,9.466528,25.097288,5.294841949,4.507201844,3.93,11.79,1.31,10.48,1.063533306,10.10344399,3.030963406,0.280828306,0.072738128,0,0.009337546,0.198752632,0.259012807,0,0.033250016,0.707737176,0.001954839,18,4,5,0,0,0,0,0,0,Control
7,15.383108,54.770078,15.51789346,1.270149945,3.93,11.79,1.31,9.17,0.978089452,5.233352375,8.887444715,21.3828732,3.552350619,1.072175887,0.427775382,16.33057131,0.16613065,0.050141806,0.020005515,0.763722029,0.528099572,33,2,3,0.406486177,0,0,0.469817256,0,0.469817256,Control
8,8.528036,24.507448,5.604505383,3.097641642,3.93,7.86,2.62,5.24,0.779969871,7.363487257,1.754218864,0,0,0,0,0,,,,,0,18,4,6,0,0,0,0,0,0,Control
11,3.794772,17.581272,6.481940414,2.438086647,7.86,13.1,2.62,9.17,1.286492944,10.22959279,5.757177475,0.185772975,0,0.063626481,0.117045485,0.00510101,0,0.342495891,0.630045808,0.0274583,0.086571429,18,7,11,0,0,0,0.057696856,0,0.032969632,Control
12,6.569444,20.11718,4.902253042,2.153424619,6.55,6.55,2.62,2.62,0.784820914,6.666333921,1.425079904,0,0,0,0,0,,,,,0,18,7,4,0,0,0,0,0,0,Control
16,1.917788,12.036574,6.011672586,3.580967631,3.93,14.41,10.48,3.93,1.031186342,11.75144428,1.555463533,0.582267488,0,0.018757143,0.563510345,0,0,0.032213962,0.967786038,0,0.18945518,13,7,11,0,0,0.04121204,0.173090568,0.016484816,0.12363612,Control
17,2.366632,11.03425,4.093973643,3.85988987,13.1,26.2,2.62,23.58,2.264052868,39.03258123,21.51296393,0,0,0,0,0,,,,,0,15,4,5,4.164336682,4.164336682,0,0,0,0,Control
18,8.56884,39.210422,14.27812353,2.189880951,2.62,7.86,3.93,3.93,0.476908058,3.689330406,1.333238496,0,0,0,0,0,,,,,0,31,7,5,0,0,0,0,0,0,Control
20,5.141304,24.09153,8.983500905,2.755279346,2.62,3.93,1.31,2.62,0.670471847,4.929430075,1.015384984,0.346732096,0.010998185,0.175066667,0.114466667,0.046200577,0.031719547,0.504904706,0.33013,0.133245747,0.416542268,27,3,4,5.454,5.454,0,0,0,0,Control
21,1.754572,10.959106,5.447148268,2.808640917,2.62,27.51,19.65,7.86,1.928002477,29.4907135,3.538453563,0.034326797,0,0,0.034326797,0,0,0,1,0,0.252413675,9,4,7,7.308186346,7.067113697,0,0,0,0,Control
26,5.182108,22.584812,7.832792752,2.276801672,2.62,5.24,2.62,2.62,0.373853952,3.604870556,0.815084493,0,0,0,0,0,,,,,0,30,4,6,4.646,4.646,0,0,0,0,Control
27,1.468944,7.377242,2.948308717,2.482515046,3.93,20.96,6.55,14.41,1.821156859,19.74103482,15.47529815,0.093425,0,0,0.063125,0.0303,0,0,0.675675676,0.324324324,0.446724603,8,4,6,8.440931876,7.901273315,0,0.032183537,0,0,Control
28,2.203416,11.56551,4.830846235,3.023357995,2.62,9.17,6.55,2.62,1.215626717,9.726593639,0.663809496,1.43360974,0,0.62115,0.81245974,0,0,0.433276911,0.566723089,0,0.067333333,12,7,5,8.576354359,8.240015534,0.028200788,0.680310122,0,0,Control
29,1.183316,6.169484,2.559688302,2.975271133,5.24,18.34,6.55,11.79,2.421823502,22.90623272,14.01691649,0.128895238,0,0.095228571,0,0.033666667,0,0.73880597,0,0.26119403,0,10,3,11,0,0,0,0.049454448,0,0.049454448,Control
34,2.407436,13.304528,5.851057003,2.131323245,3.93,7.86,2.62,5.24,0.599024773,5.457298954,2.825656509,0,0,0,0,0,,,,,0,23,9,7,7.718409163,7.718409163,0,0,0,0,Control
41,1.101708,5.60146,2.266345464,2.764464454,5.24,18.34,6.55,10.48,1.442922473,18.82862295,5.783934375,0.045909091,0.009181818,0.036727273,0,0,0.2,0.8,0,0,0.188227273,7,4,7,4.065171583,4.065171583,0.001632318,0.011365556,0,0,Control
42,2.407436,14.230092,6.693461985,2.539448259,2.62,6.55,2.62,3.93,1.010448098,8.227818386,1.1077985,0.683455578,0,0.127525253,0.283761905,0.272168421,0,0.186588941,0.415187049,0.39822401,0.036405104,17,8,11,6.447817211,6.063365732,0.055635664,0.033716623,0,0,Control
46,1.101708,8.453094,5.161251592,1.679001903,3.93,5.24,2.62,2.62,0.397767603,3.814509976,0.797780753,0.100234848,0.008416667,0.024484848,0.067333333,0,0.083969466,0.244274809,0.671755725,0,0.055090909,10,4,4,12.24036209,12.20220455,0,0,0,0,Control
49,3.427536,19.983456,9.271485175,1.89262685,3.93,6.55,2.62,3.93,0.580234826,4.158275473,2.051363419,1.201461071,0.487176471,0,0,0.7142846,0.405486688,0,0,0.594513312,0.156166082,18,7,6,0,0,0,0,0,0,Control
51,4.121204,22.091932,9.423959669,1.873573686,3.93,9.17,2.62,6.55,0.454496145,3.29915437,1.401160967,0,0,0,0,0,,,,,0,27,8,7,0,0,0,0,0,0,Control
52,1.22412,5.885472,2.251794418,2.024746889,5.24,10.48,2.62,7.86,0.729223669,6.430645668,5.165928106,0,0,0,0,0,,,,,0,13,8,4,5.439016455,5.439016455,0,0,0,0,Control
56,1.63216,7.968698,3.096008483,2.499809895,2.62,3.93,1.31,2.62,0.410616457,3.492444542,0.676706983,0.406332462,0,0.283548148,0.122784314,0,0,0.697823026,0.302176974,0,0.016833333,11,5,9,11.126515,11.126515,0,0.629183523,0,0,Control
57,0.571256,3.727102,1.935093339,3.346232794,6.55,14.41,7.86,5.24,1.144814014,21.73193901,3.212029573,0.0404,0.0101,0,0,0.0303,0.25,0,0,0.75,0,5,4,5,3.997478365,3.978938552,0,0,0,0,Control
60,2.897084,15.310994,6.439257922,2.619429382,2.62,7.86,5.24,2.62,0.991317809,8.71887612,1.055773123,2.204631975,0.361473684,0.136744102,1.60082328,0.105590909,0.163961009,0.062025818,0.726118145,0.047895028,0.707,15,5,5,0,0,0,0.049454448,0,0,Control
63,2.529848,14.893258,6.977102987,3.785963153,2.62,11.79,5.24,6.55,0.451171011,7.460767019,1.537161178,0.960613971,0,0,0,0.960613971,0,0,0,1,0.382570899,13,4,4,5.066134226,5.066134226,0.057335726,0,0,0,Control
65,2.203416,11.054248,4.413184098,2.169962399,3.93,5.24,2.62,2.62,0.788178563,5.071350498,1.857190038,3.744510256,1.687476923,0,0,2.057033333,0.450653572,0,0,0.549346428,0,12,3,4,8.383200739,6.262,0,0,0,0,Control
67,2.162612,9.385324,3.241231622,2.122938469,5.24,10.48,3.93,6.55,0.546911359,4.970341689,2.457948998,0,0,0,0,0,,,,,0,17,9,8,0,0,0,0,0,0,Control
70,1.264924,5.24392,1.729966998,2.223156208,2.62,5.24,1.31,3.93,1.102076888,5.291608242,0.692547083,0.154025,0.0707,0.0505,0.0202,0.012625,0.459016393,0.327868852,0.131147541,0.081967213,0.170738095,12,4,4,0.14283557,0,0,0,0,0,Control
71,1.101708,6.202814,2.779080646,1.993698687,2.62,6.55,3.93,2.62,1.271435738,9.727941334,1.170500209,0,0,0,0,0,,,,,0,9,4,11,6.067673557,5.457739459,0.069223673,0,0,0,Control
76,0.938492,5.69842,2.753394701,2.404035121,2.62,10.48,2.62,7.86,0.78022635,6.145897535,3.796146716,0.150669264,0,0.094266667,0,0.056402597,0,0.625652931,0,0.374347069,0.108345455,12,5,3,4.438024273,4.411746593,0,0,0,0,Control
79,1.264924,7.684686,3.715163717,3.85260026,2.62,3.93,1.31,2.62,0.35439682,4.8404767,1.113337349,0,0,0,0,0,,,,,0,5,1,5,15.53825177,15.53825177,0,0,0,0,Control
80,1.101708,5.656606,2.311189164,3.077727276,2.62,3.93,1.31,2.62,0.437341511,4.424496893,1.43127179,0,0,0,0,0,,,,,0,13,5,7,7.942479714,7.942479714,0,0,0,0,Control
81,0.897688,5.092016,2.298498557,2.424759456,2.62,3.93,1.31,2.62,0.77770853,5.933250023,1.370166447,0,0,0,0,0,,,,,0,13,4,5,9.443337616,9.033714629,0,0,0,0,Control
82,0.734472,3.862442,1.616362752,2.542151103,2.62,6.55,2.62,3.93,0.723744333,6.642430762,0.539985858,0,0,0,0,0,,,,,0,8,3,8,12.36562462,12.07446446,0,0,0,0,Control
84,0.571256,3.179076,1.407865551,3.437838476,7.86,48.47,43.23,5.24,1.233855128,29.41059867,3.166008018,0.089194805,0,0,0.089194805,0,0,0,1,0,0.009619048,5,1,8,8.806319182,8.702426328,0.175921445,0.016273923,0,0,Control
90,0.530452,2.213516,0.735037296,4.067650049,6.55,9.17,5.24,3.93,0.944151819,13.4570582,1.73863821,0,0,0,0,0,,,,,0,5,3,4,3.984062751,3.984062751,0,0,0,0,Control
91,1.346532,6.812652,2.742874061,2.570002012,2.62,6.55,2.62,3.93,0.386467397,4.301664688,1.278841063,0,0,0,0,0,,,,,0,14,5,8,0,0,0,0,0,0,Control
92,1.060904,5.33583,2.135590686,2.625074989,2.62,24.89,3.93,20.96,1.844573259,14.71678419,26.18004783,0.042377622,0.042377622,0,0,0,1,0,0,0,0.03813986,17,8,8,0,0,0,0,0,0,Control
96,0.61206,3.932536,2.010673491,3.778432111,2.62,9.17,6.55,2.62,1.119634748,12.62511895,1.443488595,0,0,0,0,0,,,,,0,5,2,8,3.097790726,2.835205107,0.016484816,0.16484816,0,0,Control
98,0.367236,2.02303,0.8868487,2.616589639,3.93,11.79,5.24,6.55,0.712328851,6.675443454,2.782871319,0,0,0,0,0,,,,,0,2,1,7,13.95409216,13.95409216,0,0,0,0,Control
101,0.897688,5.546314,2.726927694,2.751670811,3.93,5.24,2.62,2.62,0.432752192,5.464504628,1.086531591,0,0,0,0,0,,,,,0,13,6,4,4.08519718,4.08519718,0,0,0,0,Control
104,0.652864,3.494802,1.488718432,4.703184809,2.62,9.17,5.24,3.93,1.059075356,14.36078506,1.152483458,0.069923077,0.069923077,0,0,0,1,0,0,0,0,4,2,8,5.34960656,5.252,0.022825916,0.079505267,0,0,Control
106,0.897688,3.70872,1.219306275,3.243658366,2.62,6.55,2.62,3.93,0.376089662,4.061717565,0.547410865,0,0,0,0,0,,,,,0,10,5,5,11.51577179,11.51577179,0,0,0,0,Control
110,0.367236,1.551966,0.521926434,3.044655127,3.93,6.55,2.62,3.93,0.633181095,7.918189988,0.725952471,0,0,0,0,0,,,,,0,2,2,7,18.24832716,18.24832716,0,0,0,0,Control
112,0.530452,2.479146,0.922036794,1.794652999,2.62,11.79,3.93,7.86,0.546891451,3.723196242,3.534801992,0,0,0,0,0,,,,,0,9,2,3,11.88199647,11.88199647,0,0,0,0,Control
115,0.530452,2.28866,0.785790191,3.186119878,2.62,9.17,5.24,3.93,0.995784998,14.21989487,1.124640418,0,0,0,0,0,,,,,0,7,3,9,9.389811646,9.267816356,0.011493615,0,0,0,Control
117,0.61206,4.808004,3.005562605,2.856431424,2.62,5.24,1.31,3.93,0.480365276,3.77119755,1.481205781,0.014428571,0,0,0.014428571,0,0,0,1,0,0.061212121,11,3,9,5.279606456,5.252,0,0,0,0,Control
122,0.775276,3.593378,1.325377536,3.602023762,2.62,10.48,1.31,9.17,0.903388739,15.84381473,7.874361566,0.0606,0.0606,0,0,0,1,0,0,0,0.032063492,9,6,6,4.09018826,4.09018826,0,0,0,0,Control
123,0.40804,1.775782,0.614988077,2.988797415,2.62,7.86,2.62,5.24,1.213698745,10.84611561,2.718680554,0,0,0,0,0,,,,,0,5,1,9,0.5454,0.404,0,0.016484816,0,0,Control
124,0.40804,1.7574,0.602321882,4.010292028,2.62,7.86,2.62,5.24,0.753424704,9.536813533,1.534259531,0,0,0,0,0,,,,,0,3,2,8,17.48304591,17.43881338,0,0,0,0,Control
126,0.693668,2.875066,0.94827459,1.837031392,2.62,5.24,2.62,2.62,0.943593979,4.474749007,1.311974135,0,0,0,0,0,,,,,0,11,3,5,0.3535,0.202,0,0,0,0,Control
129,0.40804,1.817596,0.644291072,4.625818884,2.62,7.86,1.31,6.55,0.734246612,12.51858631,3.872243963,0,0,0,0,0,,,,,0,7,3,6,9.457397528,9.457397528,0,0,0,0,Control
131,0.530452,2.11999,0.674235584,1.984190705,2.62,5.24,2.62,2.62,0.412012637,3.163351097,1.005051671,0,0,0,0,0,,,,,0,5,2,7,3.036725868,3.036725868,0,0,0,0,Control
133,0.448844,2.270278,0.91380345,2.802547487,2.62,3.93,1.31,2.62,0.494396031,4.234148312,1.016871138,0,0,0,0,0,,,,,0,3,2,7,10.57562121,10.57562121,0,0,0,0,Control
134,0.571256,3.270986,1.490447669,2.567499754,2.62,7.86,3.93,3.93,0.812133074,7.152411336,2.512827123,0,0,0,0,0,,,,,0,13,3,3,0.903371463,0.903371463,0,0,0,0,Control
144,0.489648,2.986974,1.45000345,2.922941991,2.62,3.93,1.31,2.62,0.723744333,5.480916064,1.191048367,0,0,0,0,0,,,,,0,2,2,9,10.34821214,10.12421098,0,0.002077153,0,0,Control
145,0.367236,1.929504,0.806744947,3.188042558,2.62,5.24,1.31,3.93,0.579908669,6.531598181,0.959155173,0,0,0,0,0,,,,,0,9,2,5,10.29407538,10.29407538,0,0,0,0,Control
153,0.571256,3.062118,1.306180531,2.456696699,2.62,3.93,1.31,2.62,0.291585147,2.650470639,0.811087433,0,0,0,0,0,,,,,0,3,2,11,14.91247129,14.91247129,0,0,0,0,Control
155,0.367236,1.510152,0.494181191,3.194050039,2.62,11.79,6.55,5.24,0.181126326,3.194050039,1.147778901,0,0,0,0,0,,,,,0,7,3,3,9.390284554,9.390284554,0,0,0,0,Control
164,0.40804,2.101608,0.861372144,2.620855433,2.62,6.55,1.31,5.24,0.517808259,4.081116491,1.802394216,0,0,0,0,0,,,,,0,2,1,5,16.25557353,16.18270904,0,0,0,0,Control
173,0.367236,1.551966,0.521926434,3.058192979,2.62,3.93,1.31,2.62,0.263318121,3.349378524,0.751051498,0,0,0,0,0,,,,,0,2,1,4,17.62153342,17.62153342,0,0,0,0,Control
2,28.930036,51.003182,7.155429474,2.63931451,3.93,5.24,1.31,3.93,0.695828021,5.591832275,2.356896958,0.668653475,0.208516129,0,0.460137346,0,0.31184483,0,0.68815517,0,0.741631106,37,2,5,0,0,0,0,0,0,stim
7,25.135264,38.620582,4.722199308,5.184546123,5.24,7.86,2.62,5.24,0.806728959,12.2248945,1.770690202,0.740965989,0.003790449,0,0.73717554,0,0.005115551,0,0.994884449,0,0,17,5,5,0,0,0,2.497449624,0,0,stim
8,13.66934,34.69148,7.006292205,3.274507558,3.93,10.48,6.55,3.93,1.151870728,8.038133177,1.724425377,6.68542171,0.037684034,0,2.951131631,3.696606045,0.005636747,0,0.441427895,0.552935358,0.094951549,15,4,5,0.606,0,1.31878528,0.642907824,0,0.642907824,stim
11,6.773464,19.891748,4.648632417,3.415949101,3.93,11.79,7.86,3.93,1.413764596,10.55707634,2.224040044,0.226260522,0.023307692,0,0,0.20295283,0.103012634,0,0,0.896987366,0.152761993,29,9,5,3.752618589,3.686154093,0.171364165,0.497305268,0,0,stim
